Tempo;Corsa;Carico;Deformazione 1
(sec);(mm);(N);(%)
5.21400;0.06248;676.17148;0.01994
5.22400;0.06260;677.67487;0.02077
5.23400;0.06278;678.81439;0.02069
5.24400;0.06290;680.21724;0.02006
5.25400;0.06308;681.67658;0.02054
5.26400;0.06320;682.76352;0.02055
5.27400;0.06332;683.75105;0.02017
5.28400;0.06350;685.00023;0.02014
5.29400;0.06362;686.35065;0.02077
5.30400;0.06374;687.71974;0.02125
5.31400;0.06386;688.94387;0.02156
5.32400;0.06397;690.24242;0.02196
5.33400;0.06409;691.47786;0.02202
5.34400;0.06421;692.66371;0.02219
5.35400;0.06433;693.70749;0.02246
5.36400;0.06451;694.60650;0.02254
5.37400;0.06457;695.36674;0.02228
5.38400;0.06475;696.27301;0.02231
5.39400;0.06487;697.26156;0.02299
5.40400;0.06499;698.48048;0.02312
5.41400;0.06511;699.49091;0.02298
5.42400;0.06523;700.44734;0.02280
5.43400;0.06535;701.52795;0.02273
5.44400;0.06547;702.50342;0.02260
5.45400;0.06559;703.54789;0.02285
5.46400;0.06571;704.85589;0.02316
5.47400;0.06583;706.20682;0.02298
5.48400;0.06601;707.28594;0.02338
5.49400;0.06613;708.24903;0.02398
5.50400;0.06619;709.21318;0.02374
5.51400;0.06631;710.28676;0.02380
5.52400;0.06643;711.45766;0.02382
5.53400;0.06655;712.44338;0.02349
5.54400;0.06667;713.54816;0.02321
5.55400;0.06678;714.44269;0.02355
5.56400;0.06690;715.55008;0.02337
5.57400;0.06702;716.66683;0.02331
5.58400;0.06714;717.28653;0.02341
5.59400;0.06726;718.06014;0.02347
5.60400;0.06738;719.33768;0.02315
5.61400;0.06750;720.77992;0.02332
5.62400;0.06762;722.00475;0.02361
5.63400;0.06774;723.22674;0.02406
5.64400;0.06786;724.47178;0.02490
5.65400;0.06798;725.39379;0.02527
5.66400;0.06810;726.41592;0.02506
5.67400;0.06822;727.24838;0.02474
5.68400;0.06834;728.30250;0.02435
5.69400;0.06846;729.34590;0.02396
5.70400;0.06858;730.36244;0.02348
5.71400;0.06870;731.59416;0.02410
5.72400;0.06882;732.66560;0.02475
5.73400;0.06888;733.54044;0.02508
5.74400;0.06900;734.39884;0.02542
5.75400;0.06912;735.48267;0.02537
5.76400;0.06924;736.55951;0.02443
5.77400;0.06936;737.47020;0.02388
5.78400;0.06948;738.37028;0.02449
5.79400;0.06954;739.35795;0.02465
5.80400;0.06965;740.50026;0.02446
5.81400;0.06977;741.62204;0.02490
5.82400;0.06989;742.66535;0.02535
5.83400;0.07001;743.42331;0.02569
5.84400;0.07007;744.37545;0.02596
5.85400;0.07019;745.29336;0.02603
5.86400;0.07031;745.98007;0.02591
5.87400;0.07043;746.75423;0.02623
5.88400;0.07049;747.52164;0.02665
5.89400;0.07061;748.47336;0.02639
5.90400;0.07073;749.71584;0.02665
5.91400;0.07085;750.80041;0.02726
5.92400;0.07091;751.75688;0.02671
5.93400;0.07103;752.61560;0.02678
5.94400;0.07115;753.54129;0.02698
5.95400;0.07127;754.52453;0.02701
5.96400;0.07139;755.47574;0.02683
5.97400;0.07145;756.56986;0.02752
5.98400;0.07157;757.45941;0.02756
5.99400;0.07169;758.29243;0.02726
6.00400;0.07181;759.10697;0.02714
6.01400;0.07193;760.13245;0.02675
6.02400;0.07205;761.26810;0.02636
6.03400;0.07217;762.44711;0.02612
6.04400;0.07229;763.57503;0.02663
6.05400;0.07241;764.60391;0.02698
6.06400;0.07258;765.73398;0.02749
6.07400;0.07270;766.75569;0.02823
6.08400;0.07282;767.77786;0.02823
6.09400;0.07300;768.96460;0.02745
6.10400;0.07312;770.25555;0.02726
6.11400;0.07324;771.42669;0.02742
6.12400;0.07342;772.77645;0.02753
6.13400;0.07360;774.35584;0.02807
6.14400;0.07372;775.83208;0.02802
6.15400;0.07384;777.01029;0.02737
6.16400;0.07396;778.11233;0.02755
6.17400;0.07408;779.28947;0.02784
6.18400;0.07426;780.50201;0.02750
6.19400;0.07438;781.62625;0.02766
6.20400;0.07450;782.55814;0.02819
6.21400;0.07462;783.46897;0.02831
